warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
178,1971,11223,1.828889710926895e-5,613651,1964,2652025,246061178742.54578,123030589371.27289,123030589371.27289,50135741806.84348,195925436935.7023,906047447957.5574,453023723978.7787,453023723978.7787,122576357588.92747,783471090368.6299,0.178,0.39849999999999997,0.39849999999999997,0.619,0,4.5,4.5,9,3720733000
181,1973,25791,3.2993053689987334e-4,78171,1405,21298972,622215290935.8593,62221529093.58592,50995335260.13683,5216017413.275967,268737257147.7612,705160537916.8766,70516053791.68767,54365739293.12645,7291681392.042108,276092005396.5825,0.017,0.45799999999999996,0.4159,0.721,-10,1,0.3,9,3870627000
184,1974,3000,3.780432481475881e-5,79356,1170,2310178,533009005418.67957,133252251354.66989,133252251354.66989,4140158876.444187,262364343832.8956,616084254850.7618,154021063712.69046,154021063712.69046,4738564127.148989,303303563298.23193,0.549,0.575,0.575,0.601,9,9.5,9.5,10,3946609000
186,1975,5400,4.240415874860616e-5,127346,510,3734484,560531881243.941,70066485155.49263,25202600881.65138,20567952551.529858,209292786307.1379,698750909738.8053,87343863717.35066,42309291736.88588,28070919944.196354,236685951451.43454,0.072,0.11649999999999999,0.1185,0.169,-9,-7,-4.75,4,4036077000
187,1977,18500,3.2203035788887344e-4,57448,531,968807,42494667957.39798,10623666989.349495,4206934196.493614,1,34080799563.41075,90645819605.1869,22661454901.296726,18457388439.91449,9618940880.6833,44112101844.67463,0.072,0.076,0.07575,0.079,-7,-7,-7,-7,4194386000
189,1977,8000,1.3976972937086151e-4,57237,685,0,8118229098.427601,4059114549.2138004,4059114549.2138004,1997175960.6656718,6121053137.7619295,67375412563.67069,33687706281.835346,33687706281.835346,9590127300.022455,57785285263.64824,0.132,0.14250000000000002,0.14250000000000002,0.153,-7,-7,-7,-7,4194386000
190,1978,4000,7.868284910596612e-5,50837,173,3682494,54014864713.272705,13503716178.318176,11435655651.12473,305970729.4655348,30837582681.55771,107260320568.00137,26815080142.000343,30273698140.49465,12971234345.218464,33741689941.7936,0.073,0.16499999999999998,0.16175,0.244,-7,-6.5,-6.5,-6,4267501000
193,1979,21000,2.0232597798115285e-5,1037929,5250,30000000,603625507872.2816,301812753936.1408,301812753936.1408,8522708275.601617,595102799596.68,1668502515635.3777,834251257817.6888,834251257817.6888,63735019172.68301,1604767496462.6946,0.096,0.1245,0.1245,0.153,-7,-7,-7,-7,4345336000
199,1980,1250000,0.02379637914294961,52529,735,6773687,292743891616.1946,146371945808.0973,146371945808.0973,98961824341.38344,193782067274.81113,348422326952.7962,174211163476.3981,174211163476.3981,113152239370.8727,235270087581.9235,0.048,0.11049999999999999,0.11049999999999999,0.173,-9,-5.5,-5.5,-2,4411202000
202,1982,1001,1.1737254350171192e-5,85284,510,28316041,1427812714675.4802,713906357337.7401,713906357337.7401,199085456671.08957,1228727258004.3906,1517546906710.2224,758773453355.1112,758773453355.1112,229690824439.72345,1287856082270.499,0.076,0.438,0.438,0.8,-8,1,1,10,4567983000
205,1982,1655,1.242305960066056e-4,13322,505,10789914,101226164515.32634,50613082257.66317,50613082257.66317,29866401802.50011,71359762712.82623,115109694593.2902,57554847296.6451,57554847296.6451,39715207033.58339,75394487559.70682,0.148,0.452,0.452,0.756,-9,-1.5,-1.5,6,4567983000
